Material Id,Material Name,Material Group,Plant,Closing Stock,Replenishment Quantity,6 April 2025 Sales Quantity Forecast,6 April 2025 Cashflow Forecast,13 April 2025 Sales Quantity Forecast,13 April 2025 Cashflow Forecast,20 April 2025 Sales Quantity Forecast,20 April 2025 Cashflow Forecast,27 April 2025 Sales Quantity Forecast,27 April 2025 Cashflow Forecast,Aging Risk
10-0001789,CETZINE SYRUP 5MG 60ML,PH-SYRUPS,Chennai,64,0,11,290,10,264,12,317,13,343,<3 Months
10-0001794,CITRALKA SYRUP 100ML,PH-SYRUPS,Chennai,7,1,0,0,0,0,1,73,4,292,<3 Months
10-0001883,OMNACORTIL SYRUP 5MG 60ML,PH-SYRUPS,Chennai,7,8,3,65,2,44,1,22,3,65,<3 Months
10-0001894,PHENERGAN SYRUP 5MG 100ML,PH-SYRUPS,Chennai,74,0,7,246,3,106,2,70,4,141,<3 Months
10-0001915,SINAREST-AF SYRUP 60 ML,PH-SYRUPS,Chennai,48,0,8,690,4,345,2,173,3,259,<3 Months
10-0001947,ZENTEL 400MG SYRUP10ML,PH-SYRUPS,Chennai,76,0,3,39,1,13,1,13,5,65,<3 Months
10-0001960,ALLEGRA 120 MG TAB 10 S,PH-TAB,Chennai,105,33,28,436,19,296,30,467,23,358,<3 Months
10-0001985,AZITHRAL TAB 250MG10S,PH-TAB,Chennai,117,0,6,52,13,114,7,61,12,105,<3 Months
10-0002011,CALPOL TAB 500MG15S,PH-TAB,Chennai,173,137,46,29,42,26,67,42,94,58,<3 Months
10-0002064,DOXINATE TAB 30S,PH-TAB,Chennai,243,0,12,74,7,43,5,31,15,92,<3 Months
10-0002069,DUPHASTON 10MG TAB 10S,PH-TAB,Chennai,410,0,45,1684,120,4491,40,1497,90,3368,<3 Months
10-0002070,ECOSPRIN TAB 75MG14S,PH-TAB,Chennai,32,0,1,4,0,2,2,6,0,2,<3 Months
10-0002071,ECOSPRIN TAB 150MG14S,PH-TAB,Chennai,70,0,1,8,1,8,1,8,1,8,<3 Months
10-0002101,FRISIUM TAB 5MG 15S,PH-TAB,Chennai,138,4,26,110,30,127,20,84,14,59,<3 Months
10-0002130,JUNIOR LANZOL DT 30MGTAB 10S,PH-TAB,Chennai,293,0,11,146,8,106,7,93,6,80,<3 Months
